	Bayesian Skyline: hcv_coal.log			
time	date	datetime	milliseconds	mean	median	upper	lower
1943.3725177951821	1943-05-15	1943-05-15T22:15:22	-840419078100	7752.4087009575815	7293.767634488221	15799.783460890125	1255.6182742626788
1940.0640189815276	1940-01-23	1940-01-23T07:48:24	-944842296686	7042.267026197766	6805.015306539364	15421.597316154548	426.06548983660684
1936.755520167873	1936-10-01	1936-10-01T17:21:25	-1049265515273	5964.089388377304	6098.393601693045	14707.717276332856	178.96920230970758
1933.4470213542186	1933-06-12	1933-06-12T02:54:27	-1153602333861	4249.140640538683	3081.3459607245222	13783.235506552204	122.02217264009342
1930.138522540564	1930-02-19	1930-02-19T12:27:28	-1258025552448	2553.759988768014	394.631233411356	11561.628203418175	101.23335422653136
1926.8300237269095	1926-10-29	1926-10-29T22:00:29	-1362448771036	1319.6009809265383	222.29424618336648	10074.866173424454	95.23066609342482
1923.521524913255	1923-07-09	1923-07-09T07:33:31	-1466871989623	695.4938497166421	191.4453994514477	7864.338060014039	89.69088223403608
1920.2130260996005	1920-03-17	1920-03-17T17:06:32	-1571295208209	344.11526704070127	180.81961754153895	1114.5359209463575	88.08608640621598
1916.904527285946	1916-11-25	1916-11-25T02:39:34	-1675718426797	274.83120375431656	176.46401808806934	596.1617593565614	84.93628888616195
1913.5960284722914	1913-08-05	1913-08-05T12:12:35	-1780055245384	202.89414627970578	175.79065224831822	422.2487181910636	85.27847019510337
1910.287529658637	1910-04-14	1910-04-14T21:45:37	-1884478463972	193.0865100994453	179.8383123108468	388.0380459895807	85.76051262396788
1906.9790308449824	1906-12-23	1906-12-23T07:18:38	-1988901682559	203.42235413256068	188.46473344758087	424.356243226727	87.99948268778961
1903.6705320313279	1903-09-01	1903-09-01T16:51:39	-2093324901147	222.14233824518018	200.2040431251437	480.85582944872675	89.4598816228843
1900.3620332176733	1900-05-12	1900-05-12T02:24:41	-2197661719733	239.24381540087484	213.66140829388513	532.3137126388837	97.29636263201925
1897.0535344040188	1897-01-19	1897-01-19T11:57:42	-2301998538320	260.929408962342	228.10875799465938	580.0064495408058	101.91262804005214
1893.7450355903643	1893-09-28	1893-09-28T21:30:44	-2406421756908	276.11859245867123	240.65608828017974	599.7426177463348	105.94730885728089
1890.4365367767098	1890-06-08	1890-06-08T07:03:45	-2510844975495	291.4906117486786	255.1775996588958	646.7435165779335	115.49419664104829
1887.1280379630552	1887-02-15	1887-02-15T16:36:46	-2615268194083	305.70181195003147	265.90712012412786	683.7071825315236	126.07490132691775
1883.8195391494007	1883-10-26	1883-10-26T02:09:48	-2719691412670	317.845005758825	279.5936409866429	738.1321444503798	127.12268157304275
1880.5110403357462	1880-07-04	1880-07-04T11:42:49	-2824114631256	327.7708655374081	289.47082424823884	765.8946647707148	137.9865865135827
1877.2025415220917	1877-03-14	1877-03-14T21:15:51	-2928451449844	337.90961456032824	298.99251712443504	795.2398230325102	143.4021857500787
1873.8940427084372	1873-11-22	1873-11-22T06:48:52	-3032874668431	342.83492536192176	303.0426377724563	795.2398230325102	144.20900604385645
1870.5855438947826	1870-08-01	1870-08-01T16:21:53	-3137297887019	346.44491398966966	307.66349636473024	820.8874093717176	144.39642985109816
1867.277045081128	1867-04-11	1867-04-11T01:54:55	-3241721105606	348.65233943264957	309.26969568759785	829.4348366549465	144.47908803568268
1863.9685462674736	1863-12-19	1863-12-19T11:27:56	-3346144324193	349.57776856288746	310.0709627263614	829.4348366549465	144.47908803568268
1860.660047453819	1860-08-27	1860-08-27T21:00:58	-3450567542781	350.688114281	311.95105705489266	829.4348366549465	145.29985385906093
1857.3515486401645	1857-05-08	1857-05-08T06:33:59	-3554904361368	350.94504340596126	311.97572949766686	829.4348366549465	145.29985385906093
1854.04304982651	1854-01-15	1854-01-15T16:07:01	-3659327579955	351.3764781476355	312.42779734743465	829.4348366549465	145.29985385906093
1850.7345510128555	1850-09-25	1850-09-25T01:40:02	-3763750798542	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1847.426052199201	1847-06-04	1847-06-04T11:13:03	-3868174017129	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1844.1175533855464	1844-02-11	1844-02-11T20:46:05	-3972597235717	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1840.809054571892	1840-10-21	1840-10-21T06:19:06	-4077020454304	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1837.5005557582374	1837-07-01	1837-07-01T15:52:08	-4181357272892	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1834.1920569445829	1834-03-11	1834-03-11T01:25:09	-4285780491478	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1830.8835581309283	1830-11-18	1830-11-18T10:58:10	-4390203710066	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1827.5750593172738	1827-07-28	1827-07-28T20:31:12	-4494626928653	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1824.2665605036193	1824-04-06	1824-04-06T06:04:13	-4599050147240	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1820.9580616899648	1820-12-14	1820-12-14T15:37:15	-4703473365828	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1817.6495628763103	1817-08-25	1817-08-25T01:10:16	-4807810184414	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
